sno,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,Man_of_Match,venue,F_umpire,S_Umpire,
1,2008,Bangalore,18/04/08,KKR,RCB,RCB,field,normal,N,KKR,140,0,BB McCullum,M Chinnaswamy Stadium,Asad Rauf,RE Koertzen,
2,2008,Chandigarh,19/04/08,CSK,KXIP,CSK,bat,normal,N,CSK,33,0,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",MR Benson,SL Shastri,
3,2008,Delhi,19/04/08,RR,DD,RR,bat,normal,N,DD,0,9,MF Maharoof,Feroz Shah Kotla,Aleem Dar,GA Pratapkumar,
4,2008,Mumbai,20/04/08,MI,RCB,MI,bat,normal,N,RCB,0,5,MV Boucher,Wankhede Stadium,SJ Davis,DJ Harper,
5,2008,Kolkata,20/04/08,DC,KKR,DC,bat,normal,N,KKR,0,5,DJ Hussey,Eden Gardens,BF Bowden,K Hariharan,
6,2008,Jaipur,21/04/08,KXIP,RR,KXIP,bat,normal,N,RR,0,6,SR Watson,Sawai Mansingh Stadium,Aleem Dar,RB Tiffin,
7,2008,Hyderabad,22/04/08,DC,DD,DC,bat,normal,N,DD,0,9,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",IL Howell,AM Saheba,
8,2008,Chennai,23/04/08,CSK,MI,MI,field,normal,N,CSK,6,0,ML Hayden,"MA Chidambaram Stadium, Chepauk",DJ Harper,GA Pratapkumar,
9,2008,Hyderabad,24/04/08,DC,RR,RR,field,normal,N,RR,0,3,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,MR Benson,
10,2008,Chandigarh,25/04/08,KXIP,MI,MI,field,normal,N,KXIP,66,0,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,AM Saheba,
11,2008,Bangalore,26/04/08,RCB,RR,RR,field,normal,N,RR,0,7,SR Watson,M Chinnaswamy Stadium,MR Benson,IL Howell,
12,2008,Chennai,26/04/08,KKR,CSK,KKR,bat,normal,N,CSK,0,9,JDP Oram,"MA Chidambaram Stadium, Chepauk",BF Bowden,AV Jayaprakash,
13,2008,Mumbai,27/04/08,MI,DC,DC,field,normal,N,DC,0,10,AC Gilchrist,Dr DY Patil Sports Academy,Asad Rauf,SL Shastri,
14,2008,Chandigarh,27/04/08,DD,KXIP,DD,bat,normal,N,KXIP,0,4,SM Katich,"Punjab Cricket Association Stadium, Mohali",RE Koertzen,I Shivram,
15,2008,Bangalore,28/04/08,CSK,RCB,CSK,bat,normal,N,CSK,13,0,MS Dhoni,M Chinnaswamy Stadium,BR Doctrove,RB Tiffin,
16,2008,Kolkata,29/04/08,KKR,MI,KKR,bat,normal,N,MI,0,7,ST Jayasuriya,Eden Gardens,BF Bowden,AV Jayaprakash,
17,2008,Delhi,30/04/08,DD,RCB,RCB,field,normal,N,DD,10,0,GD McGrath,Feroz Shah Kotla,Aleem Dar,I Shivram,
18,2008,Hyderabad,1/5/2008,DC,KXIP,KXIP,field,normal,N,KXIP,0,7,SE Marsh,"Rajiv Gandhi International Stadium, Uppal",BR Doctrove,RB Tiffin,
19,2008,Jaipur,1/5/2008,RR,KKR,RR,bat,normal,N,RR,45,0,SA Asnodkar,Sawai Mansingh Stadium,RE Koertzen,GA Pratapkumar,
20,2008,Chennai,2/5/2008,CSK,DD,CSK,bat,normal,N,DD,0,8,V Sehwag,"MA Chidambaram Stadium, Chepauk",BF Bowden,K Hariharan,
21,2008,Hyderabad,25/05/08,DC,RCB,DC,bat,normal,N,RCB,0,5,R Vinay Kumar,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,RE Koertzen,
22,2008,Chandigarh,3/5/2008,KXIP,KKR,KXIP,bat,normal,N,KXIP,9,0,IK Pathan,"Punjab Cricket Association Stadium, Mohali",DJ Harper,I Shivram,
23,2008,Mumbai,4/5/2008,MI,DD,DD,field,normal,N,MI,29,0,SM Pollock,Dr DY Patil Sports Academy,IL Howell,RE Koertzen,
24,2008,Jaipur,4/5/2008,CSK,RR,CSK,bat,normal,N,RR,0,8,Sohail Tanvir,Sawai Mansingh Stadium,Asad Rauf,AV Jayaprakash,
25,2008,Bangalore,5/5/2008,RCB,KXIP,KXIP,field,normal,N,KXIP,0,6,S Sreesanth,M Chinnaswamy Stadium,SJ Davis,BR Doctrove,
26,2008,Chennai,6/5/2008,CSK,DC,DC,field,normal,N,DC,0,7,AC Gilchrist,"MA Chidambaram Stadium, Chepauk",MR Benson,RB Tiffin,
27,2008,Mumbai,7/5/2008,RR,MI,MI,field,normal,N,MI,0,7,A Nehra,Dr DY Patil Sports Academy,DJ Harper,RE Koertzen,
28,2008,Delhi,8/5/2008,DD,CSK,CSK,field,normal,N,CSK,0,4,MS Dhoni,Feroz Shah Kotla,Aleem Dar,RB Tiffin,
29,2008,Kolkata,8/5/2008,KKR,RCB,KKR,bat,normal,N,KKR,5,0,SC Ganguly,Eden Gardens,Asad Rauf,IL Howell,
30,2008,Jaipur,9/5/2008,DC,RR,RR,field,normal,N,RR,0,8,YK Pathan,Sawai Mansingh Stadium,MR Benson,AM Saheba,
31,2008,Bangalore,28/05/08,RCB,MI,MI,field,normal,N,MI,0,9,CRD Fernando,M Chinnaswamy Stadium,BF Bowden,AV Jayaprakash,
32,2008,Chennai,10/5/2008,CSK,KXIP,KXIP,field,normal,N,CSK,18,0,L Balaji,"MA Chidambaram Stadium, Chepauk",AV Jayaprakash,BG Jerling,
33,2008,Hyderabad,11/5/2008,KKR,DC,KKR,bat,normal,N,KKR,23,0,SC Ganguly,"Rajiv Gandhi International Stadium, Uppal",IL Howell,AM Saheba,
34,2008,Jaipur,11/5/2008,DD,RR,RR,field,normal,N,RR,0,3,SR Watson,Sawai Mansingh Stadium,SJ Davis,RE Koertzen,
35,2008,Chandigarh,12/5/2008,RCB,KXIP,RCB,bat,normal,N,KXIP,0,9,SE Marsh,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,I Shivram,
36,2008,Kolkata,13/05/08,KKR,DD,KKR,bat,normal,N,KKR,23,0,Shoaib Akhtar,Eden Gardens,Asad Rauf,IL Howell,
37,2008,Mumbai,14/05/08,CSK,MI,MI,field,normal,N,MI,0,9,ST Jayasuriya,Wankhede Stadium,BR Doctrove,AM Saheba,
38,2008,Chandigarh,28/05/08,KXIP,RR,RR,field,normal,N,KXIP,41,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",SJ Davis,K Hariharan,
39,2008,Delhi,15/05/08,DD,DC,DC,field,normal,N,DD,12,0,A Mishra,Feroz Shah Kotla,BG Jerling,GA Pratapkumar,
40,2008,Mumbai,16/05/08,KKR,MI,MI,field,normal,N,MI,0,8,SM Pollock,Wankhede Stadium,BR Doctrove,DJ Harper,
41,2008,Delhi,17/05/08,DD,KXIP,DD,bat,normal,Y,KXIP,6,0,DPMD Jayawardene,Feroz Shah Kotla,AV Jayaprakash,RE Koertzen,
42,2008,Jaipur,17/05/08,RR,RCB,RCB,field,normal,N,RR,65,0,GC Smith,Sawai Mansingh Stadium,BF Bowden,SL Shastri,
43,2008,Hyderabad,18/05/08,MI,DC,DC,field,normal,N,MI,25,0,DJ Bravo,"Rajiv Gandhi International Stadium, Uppal",BR Doctrove,DJ Harper,
44,2008,Kolkata,18/05/08,KKR,CSK,KKR,bat,normal,Y,CSK,3,0,M Ntini,Eden Gardens,Asad Rauf,K Hariharan,
45,2008,Bangalore,19/05/08,RCB,DD,DD,field,normal,N,DD,0,5,SP Goswami,M Chinnaswamy Stadium,SJ Davis,GA Pratapkumar,
46,2008,Kolkata,20/05/08,KKR,RR,RR,field,normal,N,RR,0,6,YK Pathan,Eden Gardens,BG Jerling,RE Koertzen,
47,2008,Mumbai,21/05/08,KXIP,MI,MI,field,normal,N,KXIP,1,0,SE Marsh,Wankhede Stadium,BF Bowden,GA Pratapkumar,
48,2008,Chennai,21/05/08,RCB,CSK,RCB,bat,normal,N,RCB,14,0,A Kumble,"MA Chidambaram Stadium, Chepauk",DJ Harper,I Shivram,
49,2008,Chandigarh,23/05/08,DC,KXIP,KXIP,field,normal,N,KXIP,0,6,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Asad Rauf,SJ Davis,
50,2008,Delhi,24/05/08,MI,DD,DD,field,normal,N,DD,0,5,KD Karthik,Feroz Shah Kotla,BF Bowden,K Hariharan,
51,2008,Chennai,24/05/08,RR,CSK,RR,bat,normal,N,RR,10,0,JA Morkel,"MA Chidambaram Stadium, Chepauk",DJ Harper,SL Shastri,
52,2008,Bangalore,3/5/2008,RCB,DC,DC,field,normal,N,RCB,3,0,P Kumar,M Chinnaswamy Stadium,BR Doctrove,SL Shastri,
53,2008,Kolkata,25/05/08,KXIP,KKR,KXIP,bat,normal,N,KKR,0,3,Umar Gul,Eden Gardens,SJ Davis,I Shivram,
54,2008,Jaipur,26/05/08,MI,RR,RR,field,normal,N,RR,0,5,Sohail Tanvir,Sawai Mansingh Stadium,BF Bowden,K Hariharan,
55,2008,Hyderabad,27/05/08,DC,CSK,DC,bat,normal,N,CSK,0,7,SK Raina,"Rajiv Gandhi International Stadium, Uppal",BG Jerling,AM Saheba,
56,2008,Mumbai,30/05/08,RR,DD,DD,field,normal,N,RR,105,0,SR Watson,Wankhede Stadium,BF Bowden,RE Koertzen,
57,2008,Mumbai,31/05/08,KXIP,CSK,KXIP,bat,normal,N,CSK,0,9,M Ntini,Wankhede Stadium,Asad Rauf,DJ Harper,
58,2008,Mumbai,1/6/2008,CSK,RR,RR,field,normal,N,RR,0,3,YK Pathan,Dr DY Patil Sports Academy,BF Bowden,RE Koertzen,
59,2009,Cape Town,18/04/09,MI,CSK,CSK,field,normal,N,MI,19,0,SR Tendulkar,Newlands,BR Doctrove,K Hariharan,
60,2009,Cape Town,18/04/09,RCB,RR,RCB,bat,normal,N,RCB,75,0,R Dravid,Newlands,BR Doctrove,RB Tiffin,
61,2009,Cape Town,19/04/09,KXIP,DD,DD,field,normal,Y,DD,0,10,DL Vettori,Newlands,MR Benson,SD Ranade,
62,2009,Cape Town,19/04/09,KKR,DC,KKR,bat,normal,N,DC,0,8,RP Singh,Newlands,MR Benson,BR Doctrove,
63,2009,Port Elizabeth,20/04/09,CSK,RCB,CSK,bat,normal,N,CSK,92,0,M Muralitharan,St George's Park,BG Jerling,SJA Taufel,
64,2009,Durban,21/04/09,KXIP,KKR,KKR,field,normal,Y,KKR,11,0,CH Gayle,Kingsmead,DJ Harper,SD Ranade,
65,2009,Cape Town,22/04/09,DC,RCB,DC,bat,normal,N,DC,24,0,AC Gilchrist,Newlands,M Erasmus,AM Saheba,
66,2009,Durban,23/04/09,DD,CSK,DD,bat,normal,N,DD,9,0,AB de Villiers,Kingsmead,BR Doctrove,SJA Taufel,
67,2009,Cape Town,23/04/09,RR,KKR,KKR,field,tie,N,RR,0,0,YK Pathan,Newlands,MR Benson,M Erasmus,
68,2009,Durban,24/04/09,RCB,KXIP,RCB,bat,normal,N,KXIP,0,7,RS Bopara,Kingsmead,BR Doctrove,TH Wijewardene,
69,2009,Durban,25/04/09,DC,MI,DC,bat,normal,N,DC,12,0,PP Ojha,Kingsmead,HDPK Dharmasena,SJA Taufel,
70,2009,Port Elizabeth,26/04/09,RCB,DD,RCB,bat,normal,N,DD,0,6,TM Dilshan,St George's Park,S Asnani,BG Jerling,
71,2009,Cape Town,26/04/09,KXIP,RR,KXIP,bat,normal,N,KXIP,27,0,KC Sangakkara,Newlands,M Erasmus,K Hariharan,
72,2009,Durban,27/04/09,CSK,DC,DC,field,normal,N,DC,0,6,HH Gibbs,Kingsmead,IL Howell,TH Wijewardene,
73,2009,Port Elizabeth,27/04/09,MI,KKR,MI,bat,normal,N,MI,92,0,SR Tendulkar,St George's Park,BG Jerling,RB Tiffin,
74,2009,Centurion,28/04/09,DD,RR,DD,bat,normal,N,RR,0,5,YK Pathan,SuperSport Park,GAV Baxter,RE Koertzen,
75,2009,Durban,29/04/09,KKR,RCB,KKR,bat,normal,N,RCB,0,5,MV Boucher,Kingsmead,MR Benson,TH Wijewardene,
76,2009,Durban,29/04/09,KXIP,MI,KXIP,bat,normal,N,KXIP,3,0,KC Sangakkara,Kingsmead,MR Benson,SL Shastri,
77,2009,Centurion,30/04/09,DC,DD,DD,field,normal,N,DD,0,6,DP Nannes,SuperSport Park,GAV Baxter,AM Saheba,
78,2009,Centurion,30/04/09,CSK,RR,RR,field,normal,N,CSK,38,0,SK Raina,SuperSport Park,GAV Baxter,RE Koertzen,
79,2009,East London,1/5/2009,MI,KKR,MI,bat,normal,N,MI,9,0,JP Duminy,Buffalo Park,M Erasmus,SK Tarapore,
80,2009,Durban,1/5/2009,RCB,KXIP,RCB,bat,normal,N,RCB,8,0,Yuvraj Singh,Kingsmead,HDPK Dharmasena,S Ravi,
81,2009,Port Elizabeth,2/5/2009,DC,RR,DC,bat,normal,N,RR,0,3,YK Pathan,St George's Park,S Asnani,BG Jerling,
82,2009,Johannesburg,2/5/2009,CSK,DD,DD,field,normal,N,CSK,18,0,SB Jakati,New Wanderers Stadium,DJ Harper,RE Koertzen,
83,2009,Port Elizabeth,3/5/2009,KKR,KXIP,KKR,bat,normal,N,KXIP,0,6,DPMD Jayawardene,St George's Park,S Asnani,MR Benson,
84,2009,Johannesburg,3/5/2009,MI,RCB,MI,bat,normal,N,RCB,0,9,JH Kallis,New Wanderers Stadium,RE Koertzen,TH Wijewardene,
